MNDR ID	ncRNA Symbol	ncRNA Category	Species	Disease	DO ID	MeSH ID	References	Score
MNDR-E-CIRC-0001	ACP6	circRNA	Homo sapiens	Lung cancer	DOID:1324	D008175	28685964	0.795006
MNDR-E-CIRC-0002	AFAP1	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28639908	0.795006
MNDR-E-CIRC-0003	AFF2	circRNA	Homo sapiens	Acute myeloid leukemia	DOID:9119	D015470	28282919	0.795006
MNDR-E-CIRC-0004	AKT2	circRNA	Homo sapiens	Pancreatic ductal adenocarcinoma	DOID:3498	D021441	27997903	0.795006
MNDR-E-CIRC-0005	ALDH1A2	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28544609	0.795006
MNDR-E-CIRC-0006	ALDH5A1	circRNA	Homo sapiens	Familial hereditary ocular diseases			28624226	0.795006
MNDR-E-CIRC-0007	ANAPC7	circRNA	Homo sapiens	Pancreatic ductal adenocarcinoma	DOID:3498	D021441	27997903	0.795006
MNDR-E-CIRC-0008	ARHGAP26	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28544609	0.795006
MNDR-E-CIRC-0009	ARHGAP5	circRNA	Homo sapiens	Colon cancer	DOID:219	D003110	27892494	0.888683
MNDR-E-CIRC-0010	ARHGAP5	circRNA	Homo sapiens	Epithelial ovarian carcinoma		D000077216	27119352	0.99029
MNDR-E-CIRC-0011	ARHGEF12	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28544609	0.795006
MNDR-E-CIRC-0012	ARID1A	circRNA	Homo sapiens	Pancreatic ductal adenocarcinoma	DOID:3498	D021441	27997903	0.795006
MNDR-E-CIRC-0013	ARID1A	circRNA	Homo sapiens	Colorectal cancer	DOID:9256	D015179	28656150	0.795006
MNDR-E-CIRC-0014	ASAP1	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28974900	0.795006
MNDR-E-CIRC-0015	ASPH	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28544609	0.795006
MNDR-E-CIRC-0016	ASXL1	circRNA	Homo sapiens	Stomach cancer	DOID:10534	D013274	29109417	0.795006
MNDR-E-CIRC-0017	ASXL1	circRNA	Homo sapiens	Colon cancer	DOID:219	D003110	27892494	0.795006
MNDR-E-CIRC-0018	ATG4C	circRNA	Homo sapiens	Coronary artery disease	DOID:3393	D003324	28045104	0.795006
MNDR-E-CIRC-0019	ATIC	circRNA	Homo sapiens	Acute myeloid leukemia	DOID:9119	D015470	28282919	0.795006
MNDR-E-CIRC-0020	BCRC4	circRNA	Homo sapiens	Bladder carcinoma	DOID:4007		29270748	0.999424
MNDR-E-CIRC-0021	BGN	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28639908	0.795006
MNDR-E-CIRC-0022	BICD2	circRNA	Homo sapiens	Stomach cancer	DOID:10534	D013274	29098316	0.982118
MNDR-E-CIRC-0023	C6orf132	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28737829	0.795006
